ENERGYSTARScore,LargestPropertyUseType,LargestPropertyUseTypeGFA,Latitude,Longitude,Neighborhood,NumberofBuildings,NumberofFloors,PrimaryPropertyType,PropertyGFABuilding(s),PropertyGFAParking,PropertyGFATotal,PropertyName,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearBuilt
51.0,Office,32569.0,47.61524,-122.33519,DOWNTOWN,1.0,5,Small and Mid-Sized Office,32256,11250,43506,800 Stewart,Parking,0.0,None,0.0,1978
98.0,Worship Facility,22962.0,47.58671,-122.30201,SOUTHEAST,1.0,2,Worship Facility,22952,0,22952,Japanese Presbyterian Church,Parking,0.0,None,0.0,1963
86.0,K-12 School,65210.0,47.68069,-122.27533,NORTHEAST,1.0,1,K-12 School,64314,0,64314,View Ridge Elementary,None,0.0,None,0.0,1948
42.0,Strip Mall,107427.0,47.56961,-122.28881,SOUTHEAST,3.0,1,Other,102133,0,102133,Rainier Square Plaza,Parking,0.0,None,0.0,1994
100.0,Worship Facility,21850.0,47.61118,-122.288,CENTRAL,1.0,1,Worship Facility,21850,0,21850,St. Therese Parish,None,0.0,None,0.0,1900
100.0,Non-Refrigerated Warehouse,23232.0,47.56626,-122.3244,GREATER DUWAMISH,1.0,1,Warehouse,23232,0,23232,DAE II,None,0.0,None,0.0,1972
55.0,Office,22014.0,47.56029,-122.2858,SOUTHEAST,1.0,2,Small and Mid-Sized Office,23250,0,23250,EJ and J Pacific,None,0.0,None,0.0,1967
38.0,Worship Facility,52225.0,47.63193,-122.32126,EAST,1.0,1,Worship Facility,37700,0,37700,ST MARKS CATHEDRAL,None,0.0,None,0.0,1929
1.0,Other,28303.0,47.53578,-122.36205,DELRIDGE,1.0,2,Other,28531,0,28531,Southwest Precinct,Parking,1100.0,None,0.0,2002
76.0,Senior Care Community,141297.0,47.53515,-122.26556,SOUTHEAST,1.0,1,Senior Care Community,141297,0,141297,Caroline Kline Galland Home,None,0.0,None,0.0,1967
87.0,K-12 School,71714.0,47.52518,-122.34828,DELRIDGE,1.0,1,K-12 School,71714,0,71714,Highland Park Elementary,None,0.0,None,0.0,1999
94.0,Hotel,78051.0,47.62519,-122.34456,MAGNOLIA / QUEEN ANNE,1.0,4,Hotel,78051,44891,122942,Comfort Suites Seattle Center,Parking,44891.0,None,0.0,1999
84.0,Office,13175.0,47.61545,-122.3238,EAST,1.0,3,Small and Mid-Sized Office,27600,0,27600,1605 Boylston,Retail Store,9175.0,None,0.0,1922
47.0,Non-Refrigerated Warehouse,20796.0,47.58387,-122.32092,GREATER DUWAMISH,1.0,1,Warehouse,20796,0,20796,2100 Airport Way LLC,None,0.0,None,0.0,1949
71.0,Non-Refrigerated Warehouse,51664.0,47.58069,-122.3325,GREATER DUWAMISH,3.0,1,Warehouse,51664,0,51664,SOUTH LANDER BUSINESS PARK,None,0.0,None,0.0,1988
18.0,Parking,91935.0,47.70887,-122.33494,NORTHWEST,1.0,3,Other,69854,91935,161789,Meridian Medical Pavilion,Medical Office,69854.0,None,0.0,2005
99.0,Non-Refrigerated Warehouse,293707.0,47.51098,-122.27817,SOUTHEAST,1.0,2,Warehouse,45700,0,45700,21615-Seattle/10020 MartinLutherKing,None,0.0,None,0.0,1988
6.0,Medical Office,89131.0,47.62395,-122.33392,LAKE UNION,1.0,5,Medical Office,89191,39902,129093,BMR-530 Fairview Avenue LLC,Parking,37652.0,Other,5615.0,2008
31.0,Manufacturing/Industrial Plant,26660.0,47.55013,-122.33044,GREATER DUWAMISH,1.0,1,Other,26660,0,26660,AM Building,None,0.0,None,0.0,1950
43.0,Office,40067.0,47.64976,-122.35684,MAGNOLIA / QUEEN ANNE,1.0,3,Small and Mid-Sized Office,40067,0,40067,4 Nick,None,0.0,None,0.0,1986
18.0,Non-Refrigerated Warehouse,40780.0,47.57466,-122.33089,GREATER DUWAMISH,1.0,1,Warehouse,48280,0,48280,Old Pipe Building,Office,7500.0,None,0.0,1968
10.0,Non-Refrigerated Warehouse,29551.0,47.51018,-122.28192,GREATER DUWAMISH,1.0,1,Warehouse,37351,0,37351,pape' Material Handling Seattle,Office,9569.0,None,0.0,1969
72.0,Hotel,20571.0,47.66023,-122.31581,NORTHEAST,1.0,3,Hotel,20571,0,20571,Collegiana Hospitality House,None,0.0,None,0.0,1930
32.0,Other/Specialty Hospital,47012.0,47.7066,-122.321,NORTH,1.0,3,Other,54224,0,54224,Seattle-Northgate,None,0.0,None,0.0,1964
86.0,Retail Store,74178.0,47.54862,-122.32272,GREATER DUWAMISH,1.0,1,Retail Store,74178,0,74178,Georgetown Center Bldg B,None,0.0,None,0.0,1958
94.0,Worship Facility,22128.0,47.57384,-122.41182,SOUTHWEST,1.0,2,Worship Facility,22128,0,22128,(ID19766) ALKI CONGREGATIONAL CHURCH,None,0.0,None,0.0,1926
92.0,K-12 School,48887.0,47.60842,-122.30093,CENTRAL,1.0,2,K-12 School,37327,0,37327,Mann Building (Nova High),None,0.0,None,0.0,1925
68.0,Medical Office,113739.0,47.60649,-122.31121,CENTRAL,1.0,7,Medical Office,94500,0,94500,Jefferson Tower,None,0.0,None,0.0,1987
100.0,Refrigerated Warehouse,25200.0,47.5668,-122.32149,GREATER DUWAMISH,1.0,1,Refrigerated Warehouse,25520,0,25520,820 South Adams Building: 820 South Adams Street,None,0.0,None,0.0,1957
80.0,Worship Facility,21765.0,47.67477,-122.38241,BALLARD,1.0,2,Worship Facility,21765,0,21765,(ID21964) BALLARD BAPTIST CHURCH,None,0.0,None,0.0,1910
90.0,Office,312442.0,47.61418,-122.33485,DOWNTOWN,1.0,19,Large Office,293737,89778,383515,Eighth & Olive - New,Parking,84800.0,Medical Office,18799.0,1981
39.0,Other,206950.0,47.61,-122.32922,EAST,1.0,5,Other,109550,97400,206950,Benaroya Research Institute at Virginia Mason,None,0.0,None,0.0,1999
12.0,Non-Refrigerated Warehouse,22972.0,47.57833,-122.32563,GREATER DUWAMISH,1.0,1,Warehouse,22972,0,22972,CF Resource,None,0.0,None,0.0,1945
47.0,Worship Facility,24955.0,47.71479,-122.32824,NORTHWEST,1.0,1,Worship Facility,24955,0,24955,St. Andrew Kim,None,0.0,None,0.0,2002
50.0,Office,21600.0,47.61285,-122.34817,DOWNTOWN,1.0,3,Small and Mid-Sized Office,28800,0,28800,S2315 - Belltown Worklofts,Other,7200.0,Non-Refrigerated Warehouse,6200.0,1908
82.0,Office,30172.0,47.65801,-122.3839,MAGNOLIA / QUEEN ANNE,1.0,4,Small and Mid-Sized Office,30172,0,30172,The Wharf Building,None,0.0,None,0.0,1994
93.0,Retail Store,38880.0,47.61236,-122.34144,DOWNTOWN,1.0,2,Retail Store,25920,0,25920,"SWIFTY PRINTING & DIGITAL IMAGING, INC.",None,0.0,None,0.0,1919
88.0,Office,25859.0,47.65252,-122.37587,MAGNOLIA / QUEEN ANNE,1.0,3,Small and Mid-Sized Office,25859,0,25859,Canal Building,Parking,4000.0,None,0.0,1982
89.0,K-12 School,51026.0,47.66828,-122.3266,NORTHWEST,1.0,3,K-12 School,51360,0,51360,McDonald International School,None,0.0,None,0.0,1925
89.0,Residence Hall/Dormitory,135520.0,47.65068,-122.36331,MAGNOLIA / QUEEN ANNE,1.0,4,Residence Hall,102100,37500,139600,Emerson Hall,None,0.0,None,0.0,2001
25.0,Retail Store,158415.0,47.5653,-122.33076,GREATER DUWAMISH,1.0,1,Retail Store,158415,0,158415,Costco #0001 Seattle,None,0.0,None,0.0,2005
80.0,Non-Refrigerated Warehouse,33222.0,47.65429,-122.32618,LAKE UNION,1.0,1,Warehouse,40028,0,40028,Dunn Lumber Retail/Offices,Retail Store,10208.0,Office,6200.0,1938
89.0,Hotel,112676.0,47.61301,-122.32929,EAST,1.0,8,Hotel,128375,30301,158676,Homewood Suites,Parking,42000.0,Retail Store,4500.0,1991
27.0,Hotel,81352.0,47.6139,-122.33283,DOWNTOWN,1.0,11,Hotel,83008,0,83008,Camlin,None,0.0,None,0.0,1926
30.0,Hotel,133884.0,47.60695,-122.33414,DOWNTOWN,1.0,11,Hotel,133884,19279,153163,Hotel Monaco Seattle,None,0.0,None,0.0,1969
43.0,Laboratory,151523.0,47.62497,-122.33883,LAKE UNION,1.0,6,Mixed Use Property,260262,85028,345290,AIBS,Office,106498.0,Parking,84002.0,2015
1.0,Office,22667.0,47.61063,-122.32741,EAST,1.0,3,Small and Mid-Sized Office,22667,0,22667,Administration - Blackford Hall,None,0.0,None,0.0,1946
91.0,Office,30800.0,47.5962,-122.32548,DOWNTOWN,1.0,2,Small and Mid-Sized Office,26510,0,26510,Dearborn Bldg.,None,0.0,None,0.0,1970
14.0,Non-Refrigerated Warehouse,50417.0,47.52696,-122.32913,GREATER DUWAMISH,1.0,1,Warehouse,50417,0,50417,Lenci Corporation,None,0.0,None,0.0,1980
70.0,Hotel,64893.0,47.70916,-122.33216,NORTHWEST,1.0,4,Hotel,64893,0,64893,Hotel Nexus,None,0.0,None,0.0,1968
38.0,Library,15300.0,47.71986,-122.29809,NORTH,1.0,1,Other,24697,0,24697,The Seattle Public Library - Lake City Branch,Other - Services,4717.0,None,0.0,1965
57.0,Manufacturing/Industrial Plant,23000.0,47.55523,-122.33448,GREATER DUWAMISH,1.0,1,Other,22622,0,22622,Washington machine Works,None,0.0,None,0.0,1927
34.0,K-12 School,67743.0,47.62548,-122.30828,EAST,1.0,3,K-12 School,67743,0,67743,St. Joseph K-8 School,None,0.0,None,0.0,1923
39.0,Other - Restaurant/Bar,26554.0,47.60805,-122.33978,DOWNTOWN,1.0,13,Restaurant,42000,0,42000,First & Union,Other,15310.0,Strip Mall,7673.0,1985
82.0,Office,274362.0,47.61628,-122.33391,DOWNTOWN,1.0,7,Large Office,274362,0,274362,Children's Hospital Research Building #2,None,0.0,None,0.0,1953
88.0,K-12 School,95501.0,47.64252,-122.32418,LAKE UNION,1.0,3,K-12 School,95501,0,95501,TOPS K-8,None,0.0,None,0.0,1999
77.0,Hotel,45500.0,47.60154,-122.3352,DOWNTOWN,1.0,4,Hotel,45500,0,45500,Pioneer Square Hotel,None,0.0,None,0.0,1914
14.0,Hospital (General Medical & Surgical),302661.0,47.66737,-122.37956,BALLARD,4.0,5,Hospital,285333,0,285333,Swedish Ballard,Parking,148865.0,None,0.0,1954
97.0,Office,400536.0,47.62037,-122.33627,LAKE UNION,1.0,11,Large Office,526423,0,526423,City Place V - SEDO,Parking,182439.0,Other,7177.0,2012
18.0,Retail Store,52784.0,47.66246,-122.29898,NORTHEAST,1.0,2,Retail Store,54284,0,54284,NW BLDG,Other,1900.0,None,0.0,1956
54.0,Museum,43000.0,47.62759,-122.33661,LAKE UNION,1.0,1,Other,50000,0,50000,Armory Building,None,0.0,None,0.0,1900
72.0,Office,56747.0,47.60995,-122.33904,DOWNTOWN,1.0,4,Small and Mid-Sized Office,63540,0,63540,Chromer Building,None,0.0,None,0.0,1906
51.0,Senior Care Community,41922.0,47.55387,-122.27875,SOUTHEAST,1.0,2,Senior Care Community,41649,7233,48882,Kin On Health Care Center,Parking,9079.0,None,0.0,1966
73.0,Office,24000.0,47.54974,-122.3261,GREATER DUWAMISH,1.0,2,Small and Mid-Sized Office,24000,0,24000,5950 6th Avenue S. Building,None,0.0,None,0.0,1967
21.0,Other/Specialty Hospital,34074.0,47.62342,-122.29688,CENTRAL,1.0,3,Other,34074,0,34074,Bailey Boushay House,None,0.0,None,0.0,1991
83.0,K-12 School,41408.0,47.67365,-122.26293,NORTHEAST,1.0,1,K-12 School,38624,0,38624,Sand Point Elementary,None,0.0,None,0.0,1958
90.0,Worship Facility,33589.0,47.68164,-122.3753,BALLARD,1.0,2,Worship Facility,33589,0,33589,BALLARD CHURCH (ID19596),None,0.0,None,0.0,1914
85.0,Worship Facility,28293.0,47.52097,-122.38688,SOUTHWEST,1.0,3,Worship Facility,30740,0,30740,Fauntleroy Church UCC,Other - Recreation,11630.0,None,0.0,1952
71.0,Hotel,83591.0,47.61233,-122.33432,DOWNTOWN,1.0,20,Hotel,88591,10043,98634,Roosevelt Hotel,Parking,10043.0,Restaurant,5000.0,1930
96.0,Office,168132.0,47.62383,-122.3356,LAKE UNION,1.0,5,Large Office,172371,98700,271071,City Place II - SEDO,Parking,96918.0,Medical Office,16862.0,2009
89.0,Non-Refrigerated Warehouse,42844.0,47.56448,-122.32484,GREATER DUWAMISH,1.0,1,Warehouse,43380,0,43380,MVI 7th Avenue,None,0.0,None,0.0,1974
80.0,Office,87925.0,47.60987,-122.33824,DOWNTOWN,1.0,10,Large Office,130893,0,130893,Melbourne Tower,Supermarket/Grocery Store,27177.0,Medical Office,6644.0,1927
28.0,Parking,232685.0,47.66478,-122.29804,NORTHEAST,1.0,6,Other,88498,272900,361398,NORTH BLDG,Retail Store,63419.0,Non-Refrigerated Warehouse,15757.0,2002
73.0,Retail Store,56193.0,47.54912,-122.32184,GREATER DUWAMISH,1.0,2,Retail Store,56193,0,56193,Georgetown Center Bldg A,None,0.0,None,0.0,1958
94.0,K-12 School,65568.0,47.5097,-122.37759,SOUTHWEST,1.0,2,K-12 School,53352,0,53352,Arbor Heights Elementary,None,0.0,None,0.0,1948
80.0,Retail Store,191940.0,47.57936,-122.29744,SOUTHEAST,1.0,2,Retail Store,291940,0,291940,RAINIER ELECTRONICS LLC,Office,100000.0,None,0.0,1980
38.0,Other,8223.0,47.58754,-122.3224,GREATER DUWAMISH,1.0,1,Other,25460,0,25460,COIN,None,0.0,None,0.0,1952
96.0,Non-Refrigerated Warehouse,51116.0,47.72912,-122.34677,NORTHWEST,1.0,1,Warehouse,52311,0,52311,Linden Bldg,None,0.0,None,0.0,1960
73.0,Office,96504.0,47.65086,-122.35412,LAKE UNION,1.0,3,Large Office,95426,28645,124071,Burke Building,None,0.0,None,0.0,1988
73.0,Office,20895.0,47.60836,-122.34157,DOWNTOWN,1.0,6,Small and Mid-Sized Office,40715,0,40715,(ID21483) Madore Building,Retail Store,16260.0,Non-Refrigerated Warehouse,3560.0,1915
75.0,Office,82053.0,47.60304,-122.33362,DOWNTOWN,1.0,17,Large Office,116640,0,116640,Hoge Building,Financial Office,6561.0,Food Service,6333.0,1911
77.0,Worship Facility,45991.0,47.66476,-122.35248,NORTHWEST,1.0,2,Worship Facility,45991,0,45991,EMMANUEL BIBLE CHURCH,None,0.0,None,0.0,1928
96.0,Office,20000.0,47.63981,-122.39907,MAGNOLIA / QUEEN ANNE,1.0,3,Small and Mid-Sized Office,23910,0,23910,Magnolia Center,Retail Store,3910.0,None,0.0,1927
82.0,Distribution Center,23040.0,47.63319,-122.36294,MAGNOLIA / QUEEN ANNE,1.0,3,Distribution Center,23040,0,23040,The Seattle Public Library - Queen Anne Storage Facility,None,0.0,None,0.0,1921
25.0,Other,30730.0,47.65138,-122.35565,LAKE UNION,1.0,1,Other,30730,0,30730,155N35,None,0.0,None,0.0,1969
75.0,Office,54015.0,47.62495,-122.36036,MAGNOLIA / QUEEN ANNE,1.0,5,Small and Mid-Sized Office,54015,0,54015,Queen Anne Square West (220),None,0.0,None,0.0,1982
38.0,Other - Entertainment/Public Assembly,26300.0,47.62643,-122.33946,MAGNOLIA / QUEEN ANNE,1.0,2,Other,26300,0,26300,Art Marble 21,None,0.0,None,0.0,1921
82.0,Office,19232.0,47.63441,-122.28061,EAST,1.0,3,Small and Mid-Sized Office,19232,9616,28848,Madison Park,Parking,9616.0,None,0.0,1982
41.0,Other,72000.0,47.63549,-122.34103,MAGNOLIA / QUEEN ANNE,1.0,3,Other,53464,12998,66462,Q13 FOX,Parking,15000.0,None,0.0,1952
36.0,Non-Refrigerated Warehouse,61419.0,47.552,-122.32262,GREATER DUWAMISH,1.0,1,Warehouse,37500,0,37500,Central Park,None,0.0,None,0.0,1985
92.0,K-12 School,73769.0,47.62442,-122.31838,EAST,1.0,2,K-12 School,73769,0,73769,Lowell Elementary,None,0.0,None,0.0,1925
63.0,Office,63681.0,47.58408,-122.30125,SOUTHEAST,1.0,3,Small and Mid-Sized Office,63681,35752,99433,2100 Building,Parking,35752.0,None,0.0,2003
72.0,Non-Refrigerated Warehouse,159372.0,47.59486,-122.32455,GREATER DUWAMISH,1.0,4,Warehouse,203504,0,203504,(ID320) BMW SEATTLE - SERVICE CENTER,Other - Services,44132.0,None,0.0,2008
75.0,College/University,26393.0,47.65231,-122.34217,LAKE UNION,1.0,2,University,26050,15243,41293,Bastyr Center for Natural Health,Medical Office,15000.0,None,0.0,1940
20.0,Non-Refrigerated Warehouse,15400.0,47.57895,-122.32551,GREATER DUWAMISH,1.0,1,Warehouse,20520,0,20520,Ingersoll Rand Building,Office,5120.0,None,0.0,1966
79.0,Office,348270.0,47.61597,-122.33086,DOWNTOWN,1.0,18,Large Office,349055,64660,413715,Metropolitan Park West,Parking,69634.0,None,0.0,1980
25.0,Retail Store,35694.0,47.61159,-122.33601,DOWNTOWN,1.0,4,Retail Store,79957,0,79957,O'Shea Building,Office,29723.0,None,0.0,1914
1.0,Non-Refrigerated Warehouse,20600.0,47.66238,-122.38831,MAGNOLIA / QUEEN ANNE,1.0,1,Warehouse,25600,0,25600,Commodore,Office,5000.0,None,0.0,1974
53.0,Non-Refrigerated Warehouse,35000.0,47.54813,-122.32553,GREATER DUWAMISH,1.0,1,Warehouse,35000,0,35000,NWCP-SEA OC Bldg,None,0.0,None,0.0,1964
83.0,Worship Facility,63922.0,47.67842,-122.31949,NORTHEAST,1.0,3,Worship Facility,46485,0,46485,Calvary Christian Assembly,None,0.0,None,0.0,1950
34.0,Hotel,109017.0,47.62036,-122.34588,LAKE UNION,1.0,5,Hotel,79608,29409,109017,Best Western Executive Inn,None,0.0,None,0.0,1979
85.0,Other,36000.0,47.56166,-122.3237,GREATER DUWAMISH,1.0,5,Other,36000,0,36000,Sunny Arms,None,0.0,None,0.0,1907
60.0,Office,45000.0,47.56175,-122.37835,SOUTHWEST,1.0,3,Small and Mid-Sized Office,43387,0,43387,SK Food Group,None,0.0,None,0.0,1981
18.0,Other,49000.0,47.67524,-122.31534,NORTHEAST,1.0,4,Other,56521,0,56521,Lakeview,None,0.0,None,0.0,1941
99.0,Self-Storage Facility,22522.0,47.67923,-122.31715,NORTHEAST,1.0,3,Self-Storage Facility,22522,0,22522,Econo Mini Storage,None,0.0,None,0.0,1947
89.0,K-12 School,52924.0,47.6012,-122.31548,CENTRAL,1.0,1,K-12 School,52924,0,52924,Bailey Gatzert Elementary,None,0.0,None,0.0,1988
5.0,Non-Refrigerated Warehouse,22992.0,47.58661,-122.3281,GREATER DUWAMISH,1.0,1,Warehouse,23792,0,23792,1760 4th Avenue South,Office,800.0,None,0.0,1989
58.0,Medical Office,201365.0,47.60707,-122.3288,EAST,1.0,9,Medical Office,201560,101342,302902,7th and Madison,Parking,86270.0,None,0.0,2008
47.0,Other,18000.0,47.65843,-122.38435,MAGNOLIA / QUEEN ANNE,1.0,2,Other,20294,0,20294,Max Performance,Office,2294.0,None,0.0,1957
62.0,Non-Refrigerated Warehouse,32000.0,47.55716,-122.33744,GREATER DUWAMISH,1.0,1,Warehouse,38412,0,38412,Messenger Corp,Office,8000.0,None,0.0,1924
56.0,Office,133451.0,47.62101,-122.36188,MAGNOLIA / QUEEN ANNE,1.0,5,Large Office,137201,46763,183964,333 Elliott West,Parking,46763.0,Data Center,3750.0,2008
75.0,Office,15609.0,47.57013,-122.3244,GREATER DUWAMISH,1.0,1,Small and Mid-Sized Office,23143,0,23143,Ed Wyse Building,Non-Refrigerated Warehouse,7534.0,None,0.0,1983
1.0,Non-Refrigerated Warehouse,58047.0,47.53935,-122.34402,DELRIDGE,1.0,1,Warehouse,70400,0,70400,Pioneer Industries,Office,12353.0,None,0.0,1970
37.0,Hotel,235788.0,47.62642,-122.33325,LAKE UNION,1.0,7,Hotel,238097,44766,282863,Residence Inn Seattle - Lake Union,Parking,51537.0,None,0.0,1990
100.0,Office,45068.0,47.59973,-122.31331,CENTRAL,1.0,1,Small and Mid-Sized Office,45068,0,45068,1416 S Jackson,None,0.0,None,0.0,1947
1.0,Distribution Center,28320.0,47.5616,-122.32603,GREATER DUWAMISH,1.0,1,Distribution Center,28320,0,28320,"Park Manor, LLC",Parking,0.0,None,0.0,1971
81.0,Financial Office,25876.0,47.61362,-122.33959,DOWNTOWN,1.0,4,Other,32356,0,32356,Griffin Building,Bank Branch,6480.0,None,0.0,1927
85.0,Other,92129.0,47.72471,-122.3412,NORTHWEST,1.0,2,Other,92080,0,92080,Stone Avenue Building,None,0.0,None,0.0,1964
61.0,Distribution Center,27000.0,47.54365,-122.30785,GREATER DUWAMISH,1.0,1,Distribution Center,27000,0,27000,Dekeriver LLC,None,0.0,None,0.0,1956
58.0,Hotel,295511.0,47.60809,-122.33212,DOWNTOWN,1.0,33,Hotel,258352,57600,315952,Crowne Plaza Hotel Seattle,Parking,57600.0,None,0.0,1980
73.0,Other,49680.0,47.60192,-122.33282,DOWNTOWN,1.0,1,Other,49680,0,49680,Phelps Center,None,0.0,None,0.0,1966
1.0,Medical Office,20575.0,47.7044,-122.32285,NORTH,1.0,2,Medical Office,21329,7056,28385,Pac Med Northgate,None,0.0,None,0.0,1986
95.0,K-12 School,66588.0,47.65464,-122.34912,LAKE UNION,1.0,3,K-12 School,66588,0,66588,B.F. Day Elementary,None,0.0,None,0.0,1991
52.0,Other,14877.0,47.5823,-122.32937,GREATER DUWAMISH,1.0,3,Mixed Use Property,21947,0,21947,(ID#40008) KC Metro Transit Power Distribution,Office,12023.0,Parking,4920.0,2004
63.0,Office,106449.0,47.62175,-122.36313,MAGNOLIA / QUEEN ANNE,1.0,5,Large Office,103966,55971,159937,351 Elliott Ave West,Parking,50258.0,None,0.0,2000
69.0,Office,19658.0,47.60819,-122.32282,EAST,1.0,3,Small and Mid-Sized Office,21282,0,21282,Swedish Invex Building,None,0.0,None,0.0,1956
89.0,Office,33176.0,47.63245,-122.32529,LAKE UNION,1.0,3,Small and Mid-Sized Office,33176,0,33176,Galer,Parking,15000.0,None,0.0,1987
75.0,Office,69691.0,47.62014,-122.35768,MAGNOLIA / QUEEN ANNE,1.0,5,Small and Mid-Sized Office,66400,21600,88000,200 First Ave W,Parking,17487.0,None,0.0,1971
2.0,Laboratory,97365.0,47.63079,-122.32693,LAKE UNION,1.0,4,Laboratory,97366,18382,115748,Dendreon Pharmaceuticals Inc. (Building Owner is Alexandria Real Estate),None,0.0,None,0.0,1999
76.0,Other,215197.0,47.61915,-122.35871,MAGNOLIA / QUEEN ANNE,3.0,4,Other,62600,0,62600,Northwest Work Lofts,None,0.0,None,0.0,1928
92.0,Office,24914.0,47.6483,-122.33438,LAKE UNION,1.0,3,Small and Mid-Sized Office,20660,6034,26694,Lake Union Place,Parking,4720.0,None,0.0,1981
5.0,Retail Store,25920.0,47.61165,-122.34011,DOWNTOWN,1.0,2,Retail Store,25920,0,25920,BERGMAN'S LUGGAGE,None,0.0,None,0.0,1916
95.0,Office,109978.0,47.61891,-122.35958,MAGNOLIA / QUEEN ANNE,1.0,5,Large Office,129362,78848,208210,101 ELLIOTT AVENUE WEST,Parking,78848.0,None,0.0,1986
100.0,K-12 School,35805.0,47.63203,-122.35337,MAGNOLIA / QUEEN ANNE,1.0,1,K-12 School,35805,0,35805,Queen Anne Gym,None,0.0,None,0.0,2001
56.0,Manufacturing/Industrial Plant,45320.0,47.55297,-122.32472,GREATER DUWAMISH,1.0,1,Other,47105,0,47105,Terreno Lucile,None,0.0,None,0.0,1976
91.0,Non-Refrigerated Warehouse,39600.0,47.57199,-122.32811,GREATER DUWAMISH,1.0,1,Warehouse,39600,0,39600,SB Warehouse,None,0.0,None,0.0,1952
47.0,Other - Recreation,14317.0,47.63629,-122.35922,MAGNOLIA / QUEEN ANNE,1.0,1,Other,27247,0,27247,Queen Anne Community Center,Fitness Center/Health Club/Gym,7701.0,Pre-school/Daycare,3045.0,1948
80.0,Office,20784.0,47.65504,-122.37402,MAGNOLIA / QUEEN ANNE,1.0,2,Small and Mid-Sized Office,20022,0,20022,Nickerson Business Center,None,0.0,None,0.0,1961
57.0,Non-Refrigerated Warehouse,178087.0,47.56733,-122.3352,GREATER DUWAMISH,1.0,1,Warehouse,179413,0,179413,City Commerce Park,None,0.0,None,0.0,1946
50.0,Distribution Center,15000.0,47.52878,-122.32771,GREATER DUWAMISH,1.0,1,Distribution Center,29619,0,29619,The Long Building,Office,14619.0,None,0.0,1990
86.0,Hotel,70627.0,47.61986,-122.34413,LAKE UNION,1.0,5,Hotel,70627,42546,113173,QUALITY INN,Parking,42546.0,None,0.0,1959
95.0,Office,40313.0,47.65061,-122.35159,LAKE UNION,1.0,1,Mixed Use Property,46958,0,46958,Saturn Building,Parking,33976.0,Bar/Nightclub,4579.0,1947
73.0,Non-Refrigerated Warehouse,19471.0,47.5668,-122.32499,GREATER DUWAMISH,1.0,1,Warehouse,23296,0,23296,(ID24118) Industrial Way Building,Office,3825.0,None,0.0,1967
57.0,Non-Refrigerated Warehouse,22509.0,47.56362,-122.32876,GREATER DUWAMISH,1.0,1,Warehouse,22509,0,22509,Pedersen Party Rentals,None,0.0,None,0.0,1956
54.0,Supermarket/Grocery Store,61666.0,47.7019,-122.36374,NORTHWEST,1.0,1,Supermarket and Grocery Store,60880,0,60880,70500872 -- Holman Road,None,0.0,None,0.0,1956
63.0,Manufacturing/Industrial Plant,10200.0,47.66126,-122.38751,MAGNOLIA / QUEEN ANNE,1.0,1,Other,23169,0,23169,"MER Equipment,Inc.",None,0.0,None,0.0,1965
