,BuildingType,PrimaryPropertyType,PropertyName,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity
1078,Multifamily MR (5-9),Mid-Rise Multifamily,Continental House Condominium,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62835,-122.35491,1970,1.0,8,73736,7640,66096,Multifamily Housing,Multifamily Housing,62422.0,,,,,42.0,59.29999924,64.5,112.4000015,120.9000015,3704086.5,4027834.0,0.0,1495071.0,2209015.0,False,Compliant,127.74,1.73
1079,Multifamily HR (10+),High-Rise Multifamily,Continental Place,98121.0,7,DOWNTOWN,47.61222,-122.34456,1981,1.0,33,190610,0,190610,"Multifamily Housing, Parking, Swimming Pool",Multifamily Housing,152674.0,Parking,28598.0,Swimming Pool,0.0,7.0,95.80000305,105.6999969,167.3000031,179.6999969,14619984.0,16130505.0,0.0,4875149.0,9744834.0,False,Compliant,551.53,2.89
1080,Multifamily MR (5-9),Mid-Rise Multifamily,Cooper Square,98103.0,6,NORTHWEST,47.69397,-122.3557,1989,1.0,5,50028,0,50028,"Multifamily Housing, Office",Multifamily Housing,37859.0,Office,2659.0,,,,34.20000076,35.79999924,107.5,112.5999985,1386983.375,1452420.25,0.0,1386983.0,0.0,False,Compliant,9.67,0.19
1081,NonResidential,Distribution Center,Dekeriver LLC,98108.0,2,GREATER DUWAMISH,47.54365,-122.30785,1956,1.0,1,27000,0,27000,Distribution Center,Distribution Center,27000.0,,,,,61.0,24.10000038,27.20000076,51.70000076,55.0,651293.3125,735187.125,0.0,341140.0,310153.0,False,Compliant,18.85,0.7
1082,Multifamily LR (1-4),Low-Rise Multifamily,Cornerstone of Queen Anne,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62746,-122.34729,1992,1.0,4,42093,0,42093,Multifamily Housing,Multifamily Housing,31956.0,,,,,16.0,38.79999924,41.0,121.8000031,128.6999969,1239315.375,1309943.875,0.0,1239315.0,0.0,False,Compliant,8.64,0.21
1083,Multifamily HR (10+),High-Rise Multifamily,Cosmopolitan Condo's,98101.0,7,DOWNTOWN,47.6161,-122.33576,2006,1.0,33,299755,0,299755,"Multifamily Housing, Retail Store",Multifamily Housing,291429.0,Retail Store,6174.0,,,63.0,29.60000038,30.10000038,93.0,94.5,8815732.0,8955526.0,0.0,8815730.0,0.0,False,Compliant,61.46,0.21
1084,Multifamily LR (1-4),Low-Rise Multifamily,Broadview,98133.0,5,NORTHWEST,47.72116,-122.35512,1976,1.0,3,27296,4025,23271,"Multifamily Housing, Parking",Multifamily Housing,27296.0,Parking,4025.0,,,95.0,22.5,23.10000038,70.59999847,72.40000153,613684.125,629537.1875,0.0,613684.0,0.0,True,Error - Correct Default Data,4.28,0.16
1085,Multifamily LR (1-4),Low-Rise Multifamily,Court At Sand Pointe Condominium,98115.0,4,NORTHEAST,47.68173,-122.26408,1985,1.0,3,30542,0,30542,Multifamily Housing,Multifamily Housing,30542.0,,,,,59.0,28.60000038,30.70000076,89.69999695,96.5,872326.375,938372.3125,0.0,872326.0,0.0,False,Compliant,6.08,0.2
1086,Multifamily LR (1-4),Low-Rise Multifamily,Courtyard at Bitter Lake ACO,98133.0,5,NORTHWEST,47.72298,-122.34795,1989,1.0,4,34368,0,34368,"Multifamily Housing, Parking",Multifamily Housing,34368.0,Parking,0.0,,,15.0,29.0,30.20000076,91.0,94.69999695,995798.8125,1036754.125,0.0,995799.0,0.0,False,Compliant,6.94,0.2
1087,Multifamily LR (1-4),Low-Rise Multifamily,COURTYARD AT QUEEN ANNE SQ,98119.0,7,MAGNOLIA / QUEEN ANNE,47.62525,-122.36023,1982,1.0,4,59670,0,59670,Multifamily Housing,Multifamily Housing,59670.0,,,,,66.0,27.70000076,29.39999962,87.09999847,92.19999695,1655800.75,1752121.75,0.0,1655801.0,0.0,False,Compliant,11.54,0.19
1088,Multifamily HR (10+),High-Rise Multifamily,Decatur Condominiums,98104.0,3,EAST,47.61028,-122.32524,1950,1.0,13,108228,0,108228,Multifamily Housing,Multifamily Housing,108948.0,,,,,80.0,41.59999847,44.59999847,95.80000305,104.1999969,4533874.5,4855362.5,0.0,2714406.0,1819468.0,False,Compliant,115.56,1.07
1089,Multifamily MR (5-9),Mid-Rise Multifamily,Delorges Condominium,98102.0,3,EAST,47.62185,-122.32238,1928,1.0,5,20639,0,20639,Multifamily Housing,Multifamily Housing,20639.0,,,,,100.0,24.70000076,25.79999924,39.79999924,42.20000076,509485.6875,533469.8125,0.0,137087.0,372399.0,False,Compliant,20.73,1.0
1090,Multifamily LR (1-4),Low-Rise Multifamily,Four Seasons,98112.0,3,NORTHEAST,47.64127,-122.31338,1966,1.0,4,31682,0,31682,Multifamily Housing,Multifamily Housing,31682.0,,,,,55.0,29.5,32.0,92.69999695,100.4000015,935396.6875,1012951.688,0.0,935397.0,0.0,False,Compliant,6.52,0.21
1091,Multifamily LR (1-4),Low-Rise Multifamily,DENICE HUNT TOWNHOMES,98103.0,6,NORTHWEST,47.69094,-122.3502,1997,1.0,3,31017,0,31017,"Multifamily Housing, Office, Parking",Multifamily Housing,31017.0,Parking,3700.0,Office,3000.0,,31.70000076,33.5,97.80000305,103.0999985,1076644.75,1137981.25,0.0,1050750.0,25895.0,False,Compliant,8.7,0.28
1092,SPS-District K-12,K-12 School,TOPS K-8,98102.0,4,LAKE UNION,47.64252,-122.32418,1999,1.0,3,95501,0,95501,K-12 School,K-12 School,95501.0,,,,,88.0,31.5,34.0,79.09999847,81.59999847,3009967.0,3244148.0,0.0,2100632.0,909335.0,True,Error - Correct Default Data,62.94,0.66
1093,NonResidential,Small- and Mid-Sized Office,SPRAG,98104.0,4,LAKE UNION,47.64243,-122.32618,1957,1.0,2,21183,0,21183,"Office, Parking",Office,13945.0,Parking,7238.0,,,99.0,25.89999962,25.89999962,81.40000153,81.40000153,361542.0938,361542.0938,0.0,361542.0,0.0,False,Compliant,2.52,0.12
1094,NonResidential,Small- and Mid-Sized Office,Eastlake Professional Center,98102.0,4,LAKE UNION,47.64428,-122.32627,1961,1.0,3,29392,3834,25558,"Office, Parking",Office,29392.0,Parking,3834.0,,,91.0,25.70000076,27.39999962,79.30000305,84.5,755618.1875,804510.375,0.0,735889.0,19729.0,False,Compliant,6.18,0.21
1095,Multifamily LR (1-4),Low-Rise Multifamily,Trimark-Remi Apartments,98102.0,4,LAKE UNION,47.64533,-122.32637,1996,1.0,4,54721,0,54721,Multifamily Housing,Multifamily Housing,54721.0,,,,,67.0,22.70000076,23.20000076,64.09999847,64.59999847,1241023.75,1268266.75,0.0,1054511.0,186513.0,False,Compliant,17.26,0.32
1096,NonResidential,Large Office,Eastlake Center (North & South),98102.0,4,LAKE UNION,47.6465,-122.3252,1985,1.0,5,137738,55504,82234,"Office, Other, Parking",Office,77796.0,Parking,55504.0,Other,4438.0,62.0,57.20000076,58.90000153,179.6999969,184.8999939,4704936.5,4843339.0,0.0,4704936.0,0.0,False,Compliant,32.8,0.24
1097,Multifamily MR (5-9),Mid-Rise Multifamily,53441 - Eastlake Apartments,98102.0,4,LAKE UNION,47.64711,-122.32515,2008,1.0,6,165325,0,165325,Multifamily Housing,Multifamily Housing,84295.0,,,,,84.0,42.29999924,44.79999924,102.3000031,107.6999969,3568237.0,3774204.75,0.0,2334029.0,1234208.0,False,Compliant,81.82,0.49
1098,Multifamily MR (5-9),Mid-Rise Multifamily,Coronado Apartments,98102.0,4,LAKE UNION,47.64676,-122.32456,1958,1.0,6,56144,0,56144,Multifamily Housing,Multifamily Housing,56144.0,,,,,77.0,26.70000076,28.79999924,83.80000305,90.30000305,1497863.375,1614788.25,0.0,1497863.0,0.0,False,Compliant,10.44,0.19
1099,Multifamily LR (1-4),Low-Rise Multifamily,The Shelby Apartments,98102.0,4,LAKE UNION,47.64626,-122.32367,1928,1.0,4,37885,0,37885,Multifamily Housing,Multifamily Housing,37885.0,,,,,77.0,37.70000076,41.20000076,68.19999695,74.30000305,1427974.625,1560142.375,0.0,518586.0,909388.0,False,Compliant,51.91,1.37
1100,Multifamily LR (1-4),Low-Rise Multifamily,Killarney Apartments,98102.0,3,NORTHEAST,47.64816,-122.32169,1926,1.0,3,24367,0,24367,"Multifamily Housing, Parking",Multifamily Housing,23867.0,Parking,500.0,,,52.0,25.60000038,29.10000038,80.5,91.30000305,612158.1875,693931.375,0.0,612158.0,0.0,False,Compliant,4.27,0.18
1101,Multifamily LR (1-4),Low-Rise Multifamily,L'Amourita Cooperative Building,98102.0,4,LAKE UNION,47.64735,-122.32343,1914,2.0,3,24330,0,24330,"Multifamily Housing, Parking",Multifamily Housing,24330.0,Parking,600.0,,,76.0,34.5,37.70000076,75.19999695,83.19999695,838394.8125,916339.125,0.0,453691.0,384704.0,False,Compliant,23.59,0.97
1102,Multifamily LR (1-4),Low-Rise Multifamily,Eastlake Gardens Apartments,98102.0,3,NORTHEAST,47.65084,-122.32147,1997,1.0,3,45580,0,45580,"Multifamily Housing, Other - Restaurant/Bar, Parking, Retail Store",Multifamily Housing,24901.0,Parking,17897.0,Other - Restaurant/Bar,2560.0,,45.59999847,45.59999847,143.3000031,143.3000031,1287040.625,1287040.625,0.0,1287041.0,0.0,False,Compliant,8.97,0.2
1103,Multifamily MR (5-9),Mid-Rise Multifamily,Union Bay Lofts,98102.0,3,NORTHEAST,47.65058,-122.32159,2008,1.0,6,35746,0,35746,"Multifamily Housing, Parking",Multifamily Housing,20148.0,Parking,15598.0,,,,58.40000153,58.40000153,183.3000031,183.3000031,1176032.125,1176032.125,0.0,1176032.0,0.0,False,Compliant,8.2,0.23
1104,NonResidential,Residence Hall,(ID20861) KEYSTONE GROUP HOME,98103.0,4,LAKE UNION,47.65014,-122.34424,1988,1.0,3,21118,0,21118,Residence Hall/Dormitory,Residence Hall/Dormitory,21118.0,,,,,49.0,64.5,67.59999847,138.1000061,145.5,1361427.75,1427645.0,0.0,710939.0,650489.0,False,Compliant,39.5,1.87
1105,NonResidential,Large Office,Stone 34,98103.0,4,LAKE UNION,47.64868,-122.34254,2013,1.0,5,206126,79284,126842,"Office, Other, Parking, Restaurant",Office,101941.0,Parking,73177.0,Other,8324.0,98.0,32.0,40.79999924,110.5999985,108.4000015,4489661.0,4515744.5,0.0,3601473.0,887828.0,False,Compliant,72.26,0.35
1106,NonResidential,Small- and Mid-Sized Office,The Production Network,98103.0,4,LAKE UNION,47.64866,-122.34509,1900,1.0,2,20500,0,20500,Office,Office,20500.0,,,,,48.0,64.69999695,64.69999695,198.6999969,198.6999969,1326178.125,1326178.125,0.0,1282333.0,43845.0,False,Compliant,11.27,0.55
1107,Multifamily HR (10+),High-Rise Multifamily,Cristalla-300,98121.0,7,DOWNTOWN,47.61208,-122.34287,2004,1.0,23,248225,2206,246019,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,198646.0,Parking,42180.0,Retail Store,7399.0,1.0,89.09999847,92.5,190.1999969,191.1999969,18353916.0,19058412.0,0.0,9534309.0,8819607.0,False,Compliant,534.88,2.15
1108,Multifamily LR (1-4),Low-Rise Multifamily,Imperial Crown Manor Apartments,98117.0,6,BALLARD,47.6958,-122.37208,1978,1.0,4,35512,0,35512,Multifamily Housing,Multifamily Housing,35512.0,,,,,78.0,27.10000038,28.5,85.0,89.40000153,961491.3125,1010511.688,0.0,961491.0,0.0,False,Compliant,6.7,0.19
1109,NonResidential,Senior Care Community,Ballard Center,98117.0,6,BALLARD,47.69875,-122.36725,1966,1.0,2,34636,31000,3636,"Parking, Senior Care Community",Senior Care Community,36000.0,Parking,0.0,,,3.0,337.5,355.7000122,561.0999756,587.9000244,12148720.0,12805711.0,0.0,3561375.0,8587344.0,False,Compliant,480.9,13.88
1110,NonResidential,Worship Facility,Assumption Church,98115.0,4,NORTHEAST,47.67485,-122.29284,1930,1.0,2,25521,0,25521,Worship Facility,Worship Facility,25521.0,,,,,82.0,23.70000076,26.89999962,54.5,58.90000153,605186.3125,685885.625,0.0,361384.0,243802.0,False,Compliant,15.47,0.61
1111,NonResidential,K-12 School,ASB School,98115.0,4,NORTHEAST,47.67485,-122.29284,1986,1.0,1,23190,0,23190,K-12 School,K-12 School,23190.0,,,,,79.0,73.5,83.19999695,121.0999985,131.1999969,1705515.25,1929416.5,0.0,486316.0,1219199.0,False,Compliant,68.14,2.94
1112,Multifamily LR (1-4),Low-Rise Multifamily,Dakota Condominiums,98116.0,1,SOUTHWEST,47.56584,-122.38655,2008,1.0,4,40326,0,40326,Multifamily Housing,Multifamily Housing,40326.0,,,,,57.0,33.90000153,35.70000076,83.40000153,88.09999847,1366000.125,1437920.375,0.0,922791.0,443209.0,False,Compliant,29.97,0.74
1113,Multifamily MR (5-9),Mid-Rise Multifamily,Danielle Condominium,98107.0,6,BALLARD,47.67121,-122.38786,2012,1.0,6,31248,0,31248,"Multifamily Housing, Parking",Multifamily Housing,33892.0,Parking,5368.0,,,88.0,29.5,30.89999962,79.30000305,82.59999847,1000804.625,1048383.0,0.0,783879.0,216925.0,False,Compliant,16.99,0.54
1114,Multifamily LR (1-4),Mixed Use Property,Cosmopolitan Apartments,98105.0,4,LAKE UNION,47.6616,-122.32367,1966,4.0,3,126153,0,126153,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,62074.0,Parking,36286.0,Retail Store,27793.0,76.0,46.09999847,50.09999847,108.9000015,116.0,4141785.5,4500901.5,0.0,2599729.0,1542056.0,False,Compliant,100.02,0.79
1115,NonResidential,Small- and Mid-Sized Office,St. John Egan Hall,98103.0,6,NORTHWEST,47.68602,-122.35674,1960,1.0,1,20678,0,20678,Office,Office,23100.0,,,,,98.0,33.29999924,37.90000153,51.29999924,56.59999847,770333.0,875049.6875,0.0,179517.0,590816.0,False,Compliant,32.63,1.58
1116,NonResidential,K-12 School,St. John School,98103.0,6,NORTHWEST,47.68642,-122.35707,1922,1.0,3,28820,0,28820,K-12 School,K-12 School,33780.0,,,,,43.0,76.80000305,87.59999847,122.8000031,135.6999969,2595783.5,2959193.75,0.0,680757.0,1915026.0,False,Compliant,106.45,3.69
1117,Multifamily LR (1-4),Low-Rise Multifamily,COBRIZO CONDOMINIUM (ID20921),98103.0,4,LAKE UNION,47.65598,-122.34694,2002,1.0,4,41316,0,41316,"Multifamily Housing, Office",Multifamily Housing,36066.0,Office,5250.0,,,78.0,41.5,42.70000076,87.19999695,88.5,1713051.875,1764505.375,0.0,863691.0,849361.0,False,Compliant,51.13,1.24
1118,Multifamily LR (1-4),Low-Rise Multifamily,College Park West,98116.0,1,SOUTHWEST,47.58318,-122.38461,1985,1.0,4,21600,0,21600,Multifamily Housing,Multifamily Housing,21600.0,,,,,79.0,26.20000076,27.79999924,82.30000305,87.09999847,565952.0,599493.8125,0.0,565952.0,0.0,False,Compliant,3.95,0.18
1119,NonResidential,Worship Facility,St. Paul Church & School,98178.0,2,SOUTHEAST,47.51042,-122.26277,1954,1.0,2,27876,0,27876,Worship Facility,Worship Facility,44816.0,,,,,69.0,40.79999924,46.79999924,71.40000153,78.5,1829981.375,2095655.25,0.0,611581.0,1218400.0,False,Compliant,68.97,2.47
1120,SPS-District K-12,K-12 School,Queen Anne Elementary,98109.0,7,MAGNOLIA / QUEEN ANNE,47.63796,-122.34897,1925,1.0,1,48789,0,48789,K-12 School,K-12 School,48789.0,,,,,94.0,26.60000038,29.10000038,64.69999695,69.40000153,1298307.625,1419585.125,0.0,857142.0,441165.0,False,Compliant,29.41,0.6
1121,Multifamily MR (5-9),Mid-Rise Multifamily,Colonial Grand Pacific ID20945,98101.0,7,DOWNTOWN,47.60571,-122.33759,1902,1.0,6,35844,3459,32385,"Multifamily Housing, Parking",Multifamily Housing,35070.0,Parking,3459.0,,,1.0,66.80000305,71.30000305,209.6999969,223.8000031,2342494.25,2499524.5,0.0,2342494.0,0.0,False,Compliant,16.33,0.46
1122,SPS-District K-12,K-12 School,Columbia Building,98118.0,2,SOUTHEAST,47.55818,-122.28712,1925,1.0,1,33105,0,33105,K-12 School,K-12 School,33105.0,,,,,79.0,52.09999847,58.09999847,84.59999847,91.5,1725336.25,1924436.0,0.0,473807.0,1251530.0,True,Error - Correct Default Data,69.77,2.11
1123,NonResidential,Senior Care Community,Kin On Health Care Center,98118.0,2,SOUTHEAST,47.55387,-122.27875,1966,1.0,2,48882,7233,41649,"Parking, Senior Care Community",Senior Care Community,41922.0,Parking,9079.0,,,51.0,161.8000031,168.1000061,304.8999939,311.6000061,6782435.0,7048919.0,0.0,2708255.0,4074180.0,False,Compliant,235.26,4.81
1124,NonResidential,Warehouse,NWCP-SEA Bldg E,98108.0,2,GREATER DUWAMISH,47.55374,-122.32498,1977,1.0,1,22320,0,22320,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,22320.0,,,,,62.0,19.70000076,20.70000076,61.79999924,65.0,439065.9063,462174.4063,0.0,439066.0,0.0,False,Compliant,3.06,0.14
1125,NonResidential,Other,Terreno Lucile,98108.0,2,GREATER DUWAMISH,47.55297,-122.32472,1976,1.0,1,47105,0,47105,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,45320.0,,,,,,225.8000031,225.8000031,432.3999939,432.3999939,10234721.0,10234721.0,0.0,4233850.0,6000871.0,False,Compliant,348.22,7.39
1126,NonResidential,Small- and Mid-Sized Office,The Hathaway Building,98108.0,2,GREATER DUWAMISH,47.55316,-122.32616,1982,1.0,2,40029,0,40029,"Non-Refrigerated Warehouse, Office",Office,31800.0,Non-Refrigerated Warehouse,8200.0,,,69.0,36.79999924,39.40000153,115.5,123.6999969,1471914.25,1575328.25,0.0,1471914.0,0.0,False,Compliant,10.26,0.26
1127,NonResidential,Small- and Mid-Sized Office,Building R,98108.0,2,GREATER DUWAMISH,47.55196,-122.32518,1970,1.0,2,28304,0,28304,Office,Office,27185.0,,,,,67.0,46.70000076,48.70000076,146.6000061,152.8000031,1269367.5,1322894.5,0.0,1269367.0,0.0,False,Compliant,8.85,0.31
1128,NonResidential,Other,Building Q,98108.0,2,GREATER DUWAMISH,47.55168,-122.32459,1970,1.0,1,26400,0,26400,"Non-Refrigerated Warehouse, Other - Recreation",Other - Recreation,20560.0,Non-Refrigerated Warehouse,7200.0,,,,16.29999924,16.29999924,51.20000076,51.20000076,452612.5,452612.5,0.0,452612.0,0.0,False,Compliant,3.16,0.12
1129,NonResidential,Warehouse,Orcas Maintenance Shop,98108.0,2,GREATER DUWAMISH,47.55049,-122.32382,1968,1.0,1,27680,0,27680,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,25000.0,Office,2680.0,,,,64.19999695,69.30000305,116.0,121.3000031,1778431.75,1918665.75,0.0,642420.0,1136012.0,False,Compliant,64.81,2.34
1130,NonResidential,Small- and Mid-Sized Office,Building P,98108.0,2,GREATER DUWAMISH,47.55145,-122.32635,1969,1.0,2,25872,0,25872,"Non-Refrigerated Warehouse, Office",Office,23272.0,Non-Refrigerated Warehouse,2600.0,,,,69.09999847,71.69999695,158.5,162.3000031,1787119.0,1853911.875,0.0,1064725.0,722394.0,False,Compliant,45.79,1.77
1131,NonResidential,Small- and Mid-Sized Office,Building O,98108.0,2,GREATER DUWAMISH,47.55127,-122.32576,1969,1.0,2,25872,0,25872,Office,Office,24988.0,,,,,41.0,96.0,100.0,183.1999969,187.0,2399353.5,2498335.25,0.0,985457.0,1413896.0,False,Compliant,81.96,3.17
1132,NonResidential,Warehouse,Building N,98108.0,2,GREATER DUWAMISH,47.55127,-122.32576,1969,1.0,1,20500,0,20500,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,21386.0,,,,,65.0,10.39999962,10.39999962,32.70000076,32.70000076,222600.0938,222600.0938,0.0,222600.0,0.0,False,Compliant,1.55,0.08
1133,NonResidential,Small- and Mid-Sized Office,4000 aurora building,98103.0,4,LAKE UNION,47.6557,-122.34682,1958,1.0,2,21436,0,21436,Office,Office,21436.0,,,,,95.0,24.89999962,26.10000038,78.30000305,81.80000305,534703.6875,558727.875,0.0,534704.0,0.0,False,Compliant,3.73,0.17
1134,NonResidential,Mixed Use Property,George Pocock Memorial Rowing Center,98102.0,3,NORTHEAST,47.65205,-122.3218,1998,1.0,1,20233,0,20233,"Non-Refrigerated Warehouse, Office, Other",Office,7245.0,Non-Refrigerated Warehouse,6644.0,Other,6344.0,,31.10000038,34.09999847,67.0,70.09999847,630250.125,690322.6875,0.0,331967.0,298283.0,False,Compliant,18.16,0.9
1135,Multifamily LR (1-4),Low-Rise Multifamily,Francis Ave Apartments,98103.0,6,LAKE UNION,47.65299,-122.35299,1988,1.0,4,22448,0,22448,Multifamily Housing,Multifamily Housing,22448.0,,,,,86.0,22.60000038,23.79999924,71.09999847,74.90000153,508014.5938,535377.5,0.0,508014.0,0.0,False,Compliant,3.54,0.16
1136,NonResidential,Small- and Mid-Sized Office,Fremont Space,98103.0,6,LAKE UNION,47.65178,-122.351,2006,1.0,4,39926,12400,27526,"Multifamily Housing, Office, Parking, Retail Store",Office,24335.0,Parking,12400.0,Retail Store,2575.0,,36.70000076,37.70000076,103.0999985,105.8000031,1010967.688,1039085.375,0.0,849654.0,161314.0,False,Compliant,14.49,0.36
1137,Multifamily LR (1-4),Low-Rise Multifamily,THE NORTHBRIDGE,98103.0,4,LAKE UNION,47.65303,-122.3469,1994,1.0,4,62681,0,62681,"Multifamily Housing, Office",Multifamily Housing,38993.0,Office,6963.0,,,72.0,27.70000076,28.79999924,85.30000305,88.19999695,1275236.125,1325461.75,0.0,1235243.0,39993.0,False,Compliant,10.74,0.17
1138,Multifamily MR (5-9),Mid-Rise Multifamily,St James Tower,98103.0,4,LAKE UNION,47.64943,-122.34637,1990,1.0,7,130983,44625,86358,"Multifamily Housing, Office, Parking",Multifamily Housing,73266.0,Parking,44625.0,Office,13092.0,,42.0,44.70000076,112.3000031,118.4000015,3629065.75,3859690.5,0.0,2815734.0,813332.0,False,Compliant,62.83,0.48
1139,NonResidential,Small- and Mid-Sized Office,Northlake Plaza,98103.0,4,LAKE UNION,47.64904,-122.34609,1985,1.0,3,31417,8110,23307,"Office, Parking",Office,26295.0,Parking,12890.0,,,94.0,42.79999924,46.20000076,99.59999847,102.0999985,1126157.25,1214408.75,0.0,687472.0,438685.0,False,Compliant,28.09,0.89
1140,Multifamily MR (5-9),Mid-Rise Multifamily,Plymouth on Stewart,98101.0,7,DOWNTOWN,47.61094,-122.34075,1909,1.0,8,55882,0,55882,"Multifamily Housing, Retail Store",Multifamily Housing,48152.0,Retail Store,2645.0,,,,127.0999985,134.8999939,203.5,212.5,6458021.5,6853384.5,0.0,1702602.0,4755419.0,False,Compliant,264.43,4.73
1141,Multifamily MR (5-9),Mid-Rise Multifamily,Haddon Hall,98101.0,7,DOWNTOWN,47.6119,-122.34055,1901,1.0,6,40109,0,40109,"Multifamily Housing, Retail Store",Multifamily Housing,32536.0,Retail Store,6644.0,,,80.0,54.90000153,58.79999924,93.90000153,99.5,2151376.5,2303810.5,0.0,678975.0,1472402.0,True,Error - Correct Default Data,82.93,2.07
1142,NonResidential,Self-Storage Facility,Belltown Self Storage,98101.0,7,DOWNTOWN,47.61179,-122.3404,1928,1.0,6,46580,0,46580,Self-Storage Facility,Self-Storage Facility,46580.0,,,,,,15.19999981,16.70000076,47.90000153,52.5,710275.375,778702.125,0.0,710275.0,0.0,False,Compliant,4.95,0.11
1143,Multifamily HR (10+),High-Rise Multifamily,Josephinum,98101.0,7,DOWNTOWN,47.61117,-122.34044,1907,1.0,14,148219,0,148219,"Multifamily Housing, Other, Retail Store",Multifamily Housing,126965.0,Other,15660.0,Retail Store,5594.0,67.0,57.90000153,62.0,128.0,136.3000031,8575114.0,9195011.0,2796766.0,4565192.0,1213155.0,False,Compliant,312.13,2.11
1144,NonResidential,Retail Store,BERGMAN'S LUGGAGE,98101.0,7,DOWNTOWN,47.61165,-122.34011,1916,1.0,2,25920,0,25920,Retail Store,Retail Store,25920.0,,,,,5.0,18.5,18.5,58.0,58.0,478690.0938,478690.0938,0.0,478690.0,0.0,False,Compliant,3.34,0.13
1145,Multifamily MR (5-9),Mid-Rise Multifamily,Marq 211,98126.0,7,DOWNTOWN,47.61246,-122.34239,1999,1.0,6,139650,0,139650,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,91880.0,Parking,40200.0,Retail Store,7570.0,72.0,37.70000076,37.70000076,102.9000015,102.9000015,3752132.25,3752132.25,0.0,3012457.0,739675.0,False,Compliant,60.29,0.43
1146,NonResidential,Retail Store,"SWIFTY PRINTING & DIGITAL IMAGING, INC.",98121.0,7,DOWNTOWN,47.61236,-122.34144,1919,1.0,2,25920,0,25920,Retail Store,Retail Store,38880.0,,,,,93.0,26.0,26.89999962,74.0,74.90000153,1011667.5,1046976.813,0.0,867448.0,144219.0,False,Compliant,13.71,0.53
1147,NonResidential,Hotel,Palladian Hotel,98121.0,7,DOWNTOWN,47.61203,-122.34165,1910,1.0,8,61721,0,61721,Hotel,,,,,,,93.0,52.20000076,53.5,150.3999939,154.3999939,2897079.75,2968429.75,0.0,2534592.0,362488.0,False,Compliant,36.92,0.6
1148,Multifamily MR (5-9),Mid-Rise Multifamily,Castle Apartments,98121.0,7,DOWNTOWN,47.61334,-122.34394,1918,1.0,5,32760,0,32760,Multifamily Housing,Multifamily Housing,32760.0,,,,,98.0,32.0,34.0,71.80000305,78.19999695,1046995.188,1113105.25,0.0,599839.0,447156.0,False,Compliant,27.93,0.85
1149,Multifamily MR (5-9),Mid-Rise Multifamily,Simons Senior Apartments,98121.0,7,DOWNTOWN,47.61351,-122.34312,2007,1.0,6,96980,0,96980,Multifamily Housing,Multifamily Housing,66527.0,,,,,1.0,97.80000305,102.5,187.3000031,192.1999969,6503353.5,6816616.0,0.0,2693887.0,3809466.0,False,Compliant,221.1,2.28
1150,NonResidential,Small- and Mid-Sized Office,DSHS Belltown Center,98121.0,7,DOWNTOWN,47.61297,-122.34324,1919,1.0,2,25920,0,25920,Office,Office,23995.0,,,,,75.0,74.80000305,81.09999847,170.6000061,177.3000031,1793851.375,1945839.625,0.0,1057542.0,736309.0,False,Compliant,46.48,1.79
1151,Multifamily MR (5-9),Mid-Rise Multifamily,Stratford on 4th Apartments,98121.0,7,DOWNTOWN,47.61328,-122.34106,1915,1.0,5,32460,0,32460,Multifamily Housing,Multifamily Housing,32460.0,,,,,93.0,59.59999847,64.5,90.80000305,96.0,1933021.625,2092724.375,0.0,439658.0,1493364.0,False,Compliant,82.38,2.54
1152,Multifamily HR (10+),High-Rise Multifamily,Cambridge Apartments,98101.0,7,EAST,47.6115,-122.32984,1922,1.0,10,90920,0,90920,Multifamily Housing,Multifamily Housing,100000.0,,,,,95.0,49.29999924,54.70000076,81.80000305,87.40000153,4933374.5,5466018.0,0.0,1437109.0,3496265.0,False,Compliant,195.71,2.15
1153,Multifamily HR (10+),Senior Care Community,Horizon House,98101.0,7,EAST,47.61088,-122.32932,1954,1.0,19,756740,123891,632849,"Parking, Senior Care Community",Senior Care Community,885760.0,Parking,139190.0,,,71.0,40.29999924,42.20000076,94.59999847,96.90000153,35685224.0,37380104.0,12508892.0,21248527.0,1927801.0,False,Compliant,1216.05,1.61
